2
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 0 & 25 & 3.98375 & 38.9838 & 4.11 & 9.75 & 5.76625 & 4.11 & 4.89 & 9.75 & 1.28 & 1.28 & 1
2 & 0 & 1 & 26 & 7.18171 & 42.1817 & 10.41 & 24.46 & 17.2783 & 9.41 & 12.96 & 23.46 & 2.21 & 2.21 & 1
3 & 0 & 3 & 28 & 8.25999 & 43.26 & 8.75 & 15.29 & 7.03001 & 5.75 & 5.79 & 12.29 & 1.82 & 1.82 & 1
4 & 0 & 4 & 29 & 5.31311 & 40.3131 & 8.26 & 11.86 & 6.54689 & 4.26 & 2.85 & 7.86 & 0.15 & 0.15 & 1
5 & 0 & 5 & 30 & 15.2468 & 50.2468 & 11.3 & 28.5 & 13.2532 & 6.3 & 16.45 & 23.5 & 3.93 & 3.92 & 1
6 & 0 & 7 & 32 & 10.9601 & 45.9601 & 18.58 & 29.69 & 18.7299 & 11.58 & 8.19 & 22.69 & 1.27 & 1.27 & 2
7 & 0 & 7 & 32 & 11.0074 & 46.0074 & 15.47 & 21.02 & 10.0126 & 8.47 & 4.8 & 14.02 & 1.29 & 1.29 & 1
8 & 0 & 8 & 33 & 12.5746 & 47.5746 & 15.39 & 21.69 & 9.1154 & 7.39 & 5.55 & 13.69 & 1.53 & 1.53 & 1
9 & 0 & 10 & 35 & 20.7903 & 55.7903 & 13.91 & 31.46 & 10.6697 & 3.91 & 16.8 & 21.46 & 4.16 & 4.16 & 1
10 & 0 & 11 & 36 & 18.6234 & 53.6234 & 17.47 & 25.95 & 7.32661 & 6.47 & 7.73 & 14.95 & 2.82 & 2.82 & 2
11 & 0 & 12 & 37 & 24.3029 & 59.3029 & 17.06 & 36.73 & 12.4271 & 5.06 & 18.92 & 24.73 & 4.8 & 5.3 & 1
12 & 0 & 18 & 43 & 22.9764 & 57.9764 & 31.08 & 37.91 & 14.9336 & 13.08 & 6.08 & 19.91 & 1.7 & 1.7 & 1
13 & 0 & 20 & 45 & 32.3502 & 67.3502 & 23.97 & 42.02 & 9.66981 & 3.97 & 17.3 & 22.02 & 4.82 & 6.15 & 1
14 & 0 & 30 & 55 & 31.5967 & 66.5967 & 41.64 & 45.49 & 13.8933 & 11.64 & 3.1 & 15.49 & 0.27 & 0.27 & 1
15 & 0 & 30 & 55 & 34.5982 & 69.5982 & 46.31 & 52.35 & 17.7518 & 16.31 & 5.29 & 22.35 & 1.54 & 1.54 & 1
16 & 0 & 30 & 55 & 36.3472 & 71.3472 & 37.08 & 44.51 & 8.16285 & 7.08 & 6.68 & 14.51 & 2.28 & 2.28 & 1
17 & 0 & 35 & 60 & 46.1449 & 81.1449 & 41.36 & 58.78 & 12.6351 & 6.36 & 16.67 & 23.78 & 4.31 & 6.03 & 1
18 & 0 & 35 & 60 & 37.4239 & 72.4239 & 39.36 & 43.77 & 6.34609 & 4.36 & 3.66 & 8.77 & 0.62 & 0.62 & 1
19 & 0 & 35 & 60 & 42.198 & 77.198 & 51.79 & 66.75 & 24.552 & 16.79 & 14.21 & 31.75 & 2.64 & 2.81 & 1
20 & 0 & 38 & 63 & 54.557 & 91.4123 & 48.88 & 68.94 & 14.383 & 10.88 & 19.31 & 30.94 & 6.6 & 7.35 & 1
21 & 0 & 39 & 64 & 45.7253 & 80.7253 & 48.5 & 63.06 & 17.3347 & 9.5 & 13.81 & 24.06 & 2.44 & 2.61 & 1
22 & 0 & 42 & 67 & 51.325 & 86.325 & 51.25 & 60.98 & 9.65496 & 9.25 & 8.98 & 18.98 & 3.54 & 3.54 & 1
23 & 0 & 44 & 69 & 46.7075 & 81.7075 & 48.78 & 56.52 & 9.81248 & 4.78 & 6.99 & 12.52 & 0.74 & 0.74 & 1
24 & 0 & 45 & 70 & 53.876 & 88.876 & 57.47 & 74.28 & 20.404 & 12.47 & 16.06 & 29.28 & 3.35 & 3.88 & 1
25 & 0 & 47 & 72 & 55.5215 & 90.5215 & 51.99 & 68.85 & 13.3285 & 4.99 & 16.11 & 21.85 & 3.2 & 3.83 & 2
26 & 0 & 50 & 75 & 55.3073 & 90.3073 & 62.46 & 74.65 & 19.3427 & 12.46 & 11.44 & 24.65 & 1.84 & 2.98 & 1
27 & 0 & 50 & 75 & 52.7075 & 87.7075 & 55.71 & 63.41 & 10.7025 & 5.71 & 6.95 & 13.41 & 0.74 & 0.74 & 1
28 & 0 & 52 & 77 & 53.5967 & 88.5967 & 59.53 & 63.24 & 9.64328 & 7.53 & 2.96 & 11.24 & 0.27 & 0.27 & 1
29 & 0 & 54 & 79 & 62.6396 & 97.6397 & 58.93 & 72.59 & 9.95035 & 4.93 & 12.91 & 18.59 & 3.25 & 3.79 & 1
30 & 0 & 60 & 85 & 66.5362 & 101.536 & 69.75 & 77.21 & 10.6738 & 9.75 & 6.71 & 17.21 & 2.36 & 2.36 & 1
31 & 0 & 60 & 85 & 66.1581 & 101.158 & 79.64 & 86.92 & 20.7619 & 19.64 & 6.53 & 26.92 & 2.2 & 2.2 & 1
32 & 0 & 62 & 87 & 68.938 & 103.938 & 75.55 & 83.68 & 14.742 & 13.55 & 7.38 & 21.68 & 2.53 & 2.53 & 1
33 & 0 & 65 & 90 & 76.6412 & 111.641 & 70.63 & 91.5 & 14.8588 & 5.63 & 20.12 & 26.5 & 4.52 & 5.97 & 1
34 & 0 & 69 & 94 & 79.6958 & 114.696 & 78.32 & 89.09 & 9.39419 & 9.32 & 10.02 & 20.09 & 4.12 & 4.12 & 1
35 & 0 & 77 & 102 & 83.938 & 118.938 & 82.44 & 90.22 & 6.282 & 5.44 & 7.03 & 13.22 & 2.53 & 2.53 & 1
36 & 0 & 101 & 126 & 105.102 & 140.102 & 105.16 & 110.82 & 5.71808 & 4.16 & 4.91 & 9.82 & 1.33 & 1.33 & 1
37 & 0 & 110 & 135 & 115.213 & 150.213 & 114.01 & 123.85 & 8.63728 & 4.01 & 9.09 & 13.85 & 1.8 & 1.8 & 2
38 & 0 & 111 & 136 & 116.024 & 151.024 & 117.21 & 131.12 & 15.0964 & 6.21 & 13.16 & 20.12 & 1.72 & 4.05 & 1
39 & 0 & 113 & 138 & 123.223 & 158.223 & 121.68 & 132.02 & 8.79687 & 8.68 & 9.59 & 19.02 & 3.92 & 3.92 & 1
40 & 0 & 124 & 149 & 125.242 & 160.242 & 130.14 & 133.79 & 8.54779 & 6.14 & 2.9 & 9.79 & 0.12 & 0.12 & 1
41 & 0 & 142 & 167 & 151.349 & 186.349 & 150.97 & 160.71 & 9.36133 & 8.97 & 8.99 & 18.71 & 3.55 & 3.55 & 1
42 & 0 & 153 & 178 & 158.591 & 193.591 & 156.95 & 163.66 & 5.06914 & 3.95 & 5.96 & 10.66 & 1.96 & 1.96 & 1
43 & 0 & 182 & 207 & 186.196 & 221.196 & 188.58 & 194.57 & 8.37354 & 6.58 & 5.24 & 12.57 & 1.37 & 1.37 & 1
44 & 0 & 207 & 232 & 209.377 & 244.377 & 213.77 & 218.4 & 9.02336 & 6.77 & 3.88 & 11.4 & 0.6 & 0.6 & 1
