a2-16
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 369 & 399.73 & 402 & 417 & 389 & 417 & 15 & 20 & 14.27 & 48 & 14.27 & 14.27 & 1
2 & 0 & 289 & 315.92 & 322 & 337 & 304 & 337 & 15 & 15 & 18.08 & 48 & 18.08 & 18.08 & 1
3 & 0 & 146 & 180.7 & 179 & 194 & 161 & 179 & 0 & 15 & 10.3 & 33 & 10.3 & 10.3 & 1
4 & 0 & 105 & 135.6 & 138 & 153 & 107.59 & 138 & 0 & 2.59 & 27.41 & 33 & 14.4 & 21.41 & 1
5 & 0 & 49 & 76.18 & 82 & 97 & 51.87 & 82 & 0 & 2.87 & 27.13 & 33 & 17.82 & 19.38 & 1
6 & 0 & 16 & 43.03 & 49 & 64 & 24.38 & 50.71 & 1.71 & 8.38 & 23.33 & 34.71 & 17.97 & 19.77 & 1
7 & 0 & 367 & 401.27 & 400 & 415 & 373.95 & 405.59 & 5.59 & 6.95 & 28.64 & 38.59 & 10.73 & 25.64 & 1
8 & 0 & 265 & 303.19 & 298 & 313 & 284.53 & 298.2 & 0.2 & 19.53 & 10.67 & 33.2 & 6.81 & 7.67 & 1
9 & 0 & 276 & 291 & 286.9 & 324 & 276 & 290.88 & 3.98 & -5.68434e-14 & 11.88 & 14.88 & 7.9 & 8.88 & 1
10 & 0 & 32 & 47 & 42.05 & 80 & 32 & 65 & 22.95 & 1e-07 & 23.75 & 33 & 7.05 & 20.75 & 1
11 & 0 & 115 & 130 & 123.03 & 163 & 125.04 & 133.07 & 10.04 & 10.04 & 5.03 & 18.07 & 5.03 & 5.03 & 1
12 & 0 & 14 & 29 & 27.01 & 62 & 14 & 34.65 & 7.64 & -7.10543e-15 & 13.21 & 20.65 & 10.01 & 10.21 & 1
13 & 0 & 198 & 213 & 209.14 & 246 & 213 & 224.14 & 15 & 15 & 8.14 & 26.14 & 8.14 & 8.14 & 1
14 & 0 & 160 & 175 & 165.2 & 208 & 168.88 & 174.08 & 8.88 & 8.88 & 2.2 & 14.08 & 2.2 & 2.2 & 1
15 & 0 & 180 & 195 & 199.96 & 228 & 195 & 219.12 & 19.16 & 15 & 16.96 & 39.12 & 16.96 & 16.96 & 1
16 & 0 & 366 & 381 & 388.84 & 414 & 366 & 392.1 & 3.26 & 0 & 23.1 & 26.1 & 19.84 & 20.1 & 1
