b4-32
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 11 & 58.66 & 61 & 76 & 43.66 & 61 & 1e-07 & 32.66 & 12.34 & 50 & 12.34 & 12.34 & 5
2 & 0 & 395 & 440.23 & 442 & 457 & 408.93 & 442 & 0 & 13.93 & 14.77 & 47 & 14.77 & 14.77 & 2
3 & 0 & 84 & 142.08 & 133 & 148 & 92.08 & 133 & 0 & 8.08 & 1.92 & 49 & 1.92 & 1.92 & 4
4 & 0 & 411 & 461.18 & 457 & 472 & 411 & 457 & 0 & 1e-07 & 45 & 46 & 9.82 & 18.43 & 1
5 & 0 & 190 & 237.33 & 237 & 252 & 200.75 & 237 & 0 & 10.75 & 34.25 & 47 & 12.67 & 15.72 & 2
6 & 0 & 65 & 117.25 & 113 & 128 & 114.84 & 125.59 & 12.59 & 49.84 & 7.75 & 60.59 & 7.75 & 7.75 & 3
7 & 0 & 158 & 214.13 & 209 & 224 & 173.33 & 209 & 0 & 15.33 & 3.87 & 51 & 3.87 & 3.87 & 6
8 & 0 & 410 & 460.29 & 461 & 476 & 445.29 & 461 & 0 & 35.29 & 9.71 & 51 & 9.71 & 9.71 & 6
9 & 0 & 364 & 419.61 & 414 & 429 & 379 & 414 & 0 & 15 & 4.39 & 50 & 4.39 & 4.39 & 5
10 & 0 & 391 & 435.32 & 439 & 454 & 399.67 & 447.67 & 8.67 & 8.67 & 43.28 & 56.67 & 15.68 & 22.98 & 3
11 & 0 & 21 & 69.48 & 69 & 84 & 47.29 & 69 & 0 & 26.29 & 11.52 & 48 & 11.52 & 11.52 & 3
12 & 0 & 376 & 426.14 & 424 & 439 & 391 & 424 & 0 & 15 & 9.86 & 48 & 9.86 & 9.86 & 3
13 & 0 & 395 & 441.54 & 444 & 459 & 432.03 & 449.49 & 5.49 & 37.03 & 13.46 & 54.49 & 13.46 & 13.46 & 4
14 & 0 & 17 & 66.69 & 66 & 81 & 51.69 & 66 & 1e-07 & 34.69 & 10.31 & 49 & 10.31 & 10.31 & 4
15 & 0 & 188 & 234.1 & 236 & 251 & 223.22 & 240.12 & 4.12 & 35.22 & 13.9 & 52.12 & 13.9 & 13.9 & 3
16 & 0 & 306 & 359.5 & 352 & 367 & 333.33 & 352.63 & 0.630001 & 27.33 & 18.3 & 46.63 & 6.5 & 15.3 & 1
17 & 0 & 167 & 182 & 182.47 & 233 & 167 & 182.47 & 1e-07 & -2.84217e-14 & 9.47 & 15.47 & 9.47 & 9.47 & 6
18 & 0 & 286 & 301 & 299.09 & 348 & 286 & 328.39 & 29.3 & -5.68434e-14 & 40.39 & 42.39 & 11.09 & 35.39 & 2
19 & 0 & 16 & 31 & 25.45 & 81 & 16 & 25.45 & 1e-07 & -7.10543e-15 & 4.45 & 9.45 & 4.45 & 4.45 & 5
20 & 0 & 213 & 228 & 228.71 & 277 & 213.56 & 247.85 & 19.14 & 0.560001 & 15.76 & 34.85 & 11.71 & 13.76 & 4
21 & 0 & 271 & 286 & 278.41 & 336 & 271.79 & 279.2 & 0.79 & 0.79 & 2.41 & 8.2 & 2.41 & 2.41 & 5
22 & 0 & 22 & 37 & 28.56 & 87 & 22 & 28.56 & 1e-07 & -7.10543e-15 & 1.56 & 6.56 & 1.56 & 1.56 & 5
23 & 0 & 27 & 42 & 40.47 & 90 & 40 & 88 & 47.53 & 13 & 45 & 61 & 10.47 & 31.81 & 3
24 & 0 & 130 & 145 & 144.39 & 193 & 143.64 & 158.03 & 13.64 & 13.64 & 11.39 & 28.03 & 11.39 & 11.39 & 3
25 & 0 & 280 & 295 & 309.35 & 345 & 295 & 324.35 & 15 & 15 & 24.35 & 44.35 & 24.35 & 24.35 & 5
26 & 0 & 305 & 320 & 329.28 & 368 & 311.57 & 340.88 & 11.6 & 6.57 & 26.31 & 35.88 & 21.28 & 23.31 & 3
27 & 0 & 300 & 315 & 309.68 & 365 & 301.25 & 328.86 & 19.18 & 1.25 & 4.68 & 28.86 & 4.68 & 4.68 & 5
28 & 0 & 124 & 139 & 140.77 & 189 & 131.42 & 148.19 & 7.42 & 7.42 & 11.77 & 24.19 & 11.77 & 11.77 & 5
29 & 0 & 191 & 206 & 212.14 & 257 & 191 & 212.14 & 0 & -5.68434e-14 & 15.14 & 21.14 & 15.14 & 15.14 & 6
30 & 0 & 94 & 109 & 103.82 & 158 & 94 & 103.82 & 0 & -2.84217e-14 & 5.82 & 9.82 & 5.82 & 5.82 & 4
31 & 0 & 244 & 259 & 252.74 & 306 & 259 & 296.31 & 43.57 & 15 & 13.28 & 52.31 & 6.74 & 11.28 & 2
32 & 0 & 370 & 385 & 388.22 & 434 & 374.61 & 423.61 & 35.39 & 4.61 & 19.62 & 53.61 & 14.22 & 18.62 & 4
