no_011_6_req
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
1 & 0 & 0 & 25 & 3.98375 & 38.9838 & 4.04 & 14.04 & 10.0562 & 4.04 & 9.25 & 14.04 & 1.28 & 1.87 & 1
2 & 0 & 1 & 26 & 7.18171 & 42.1817 & 8.93 & 21.91 & 14.7283 & 7.93 & 12.23 & 20.91 & 2.21 & 3.53 & 1
3 & 0 & 3 & 28 & 8.25999 & 43.26 & 8.67 & 15.13 & 6.87001 & 5.67 & 5.71 & 12.13 & 1.82 & 1.82 & 1
4 & 0 & 4 & 29 & 5.31311 & 40.3131 & 8.05 & 11.66 & 6.34689 & 4.05 & 2.86 & 7.66 & 0.15 & 0.15 & 1
5 & 0 & 5 & 30 & 15.2468 & 50.2468 & 9.04 & 26 & 10.7532 & 4.04 & 16.21 & 21 & 3.93 & 3.92 & 1
6 & 0 & 7 & 32 & 10.9601 & 45.9601 & 15.35 & 20.83 & 9.86988 & 8.35 & 4.73 & 13.83 & 1.27 & 1.27 & 2
7 & 0 & 7 & 32 & 11.0074 & 46.0074 & 13.28 & 18.87 & 7.86261 & 6.28 & 4.84 & 11.87 & 1.29 & 1.29 & 1
8 & 0 & 8 & 33 & 12.5746 & 47.5746 & 18.49 & 29.94 & 17.3654 & 10.49 & 8.44 & 21.94 & 1.53 & 1.53 & 1
9 & 0 & 10 & 35 & 20.7903 & 55.7903 & 25.71 & 39.82 & 19.0297 & 15.71 & 13.36 & 29.82 & 4.16 & 4.16 & 1
10 & 0 & 11 & 36 & 18.6234 & 53.6234 & 20.65 & 32.35 & 13.7266 & 9.65 & 10.95 & 21.35 & 2.82 & 2.83 & 2
11 & 0 & 12 & 37 & 24.3029 & 59.3029 & 29.03 & 45.21 & 20.9071 & 17.03 & 15.43 & 33.21 & 4.8 & 5.3 & 1
12 & 0 & 18 & 43 & 22.9764 & 57.9764 & 27.2 & 37.94 & 14.9636 & 9.2 & 9.99 & 19.94 & 1.7 & 2.12 & 1
13 & 0 & 20 & 45 & 32.3502 & 67.3502 & 24 & 41.82 & 9.46981 & 4 & 17.07 & 21.82 & 4.82 & 6.21 & 1
14 & 0 & 30 & 55 & 31.5967 & 66.5967 & 35.85 & 39.69 & 8.09328 & 5.85 & 3.09 & 9.69 & 0.27 & 0.27 & 1
15 & 0 & 30 & 55 & 34.5982 & 69.5982 & 54.66 & 63.91 & 29.3118 & 24.66 & 8.5 & 33.91 & 1.54 & 1.54 & 1
16 & 0 & 30 & 55 & 36.3472 & 71.3472 & 37.04 & 44.49 & 8.14285 & 7.04 & 6.7 & 14.49 & 2.28 & 2.28 & 1
17 & 0 & 35 & 60 & 46.1449 & 81.1449 & 40.76 & 58.11 & 11.9651 & 5.76 & 16.6 & 23.11 & 4.31 & 6.03 & 1
18 & 0 & 35 & 60 & 37.4239 & 72.4239 & 42.87 & 47.31 & 9.88609 & 7.87 & 3.69 & 12.31 & 0.62 & 0.62 & 1
19 & 0 & 35 & 60 & 42.198 & 77.198 & 42.68 & 57.71 & 15.512 & 7.68 & 14.28 & 22.71 & 2.64 & 2.81 & 1
20 & 0 & 38 & 63 & 54.557 & 91.4123 & 48.22 & 68.1 & 13.543 & 10.22 & 19.13 & 30.1 & 6.6 & 7.35 & 1
21 & 0 & 39 & 64 & 45.7253 & 80.7253 & 45.95 & 61.38 & 15.6547 & 6.95 & 14.68 & 22.38 & 2.44 & 3.01 & 1
22 & 0 & 42 & 67 & 51.325 & 86.325 & 51.26 & 61.05 & 9.72496 & 9.26 & 9.04 & 19.05 & 3.54 & 3.54 & 1
23 & 0 & 44 & 69 & 46.7075 & 81.7075 & 51.97 & 63.27 & 16.5625 & 7.97 & 10.55 & 19.27 & 0.74 & 0.74 & 1
24 & 0 & 45 & 70 & 53.876 & 88.876 & 51.74 & 69.15 & 15.274 & 6.74 & 16.66 & 24.15 & 3.35 & 4.12 & 1
25 & 0 & 47 & 72 & 55.5215 & 90.5215 & 52.8 & 71.05 & 15.5285 & 5.8 & 17.5 & 24.05 & 3.2 & 4.68 & 2
26 & 0 & 50 & 75 & 55.3073 & 90.3073 & 58.95 & 65.48 & 10.1727 & 8.95 & 5.78 & 15.48 & 1.84 & 1.84 & 1
27 & 0 & 50 & 75 & 52.7075 & 87.7075 & 55.26 & 66.45 & 13.7425 & 5.26 & 10.44 & 16.45 & 0.74 & 0.74 & 1
28 & 0 & 52 & 77 & 53.5967 & 88.5967 & 60.18 & 67.14 & 13.5433 & 8.18 & 6.21 & 15.14 & 0.27 & 0.27 & 1
29 & 0 & 54 & 79 & 62.6396 & 97.6397 & 58.55 & 75.4 & 12.7603 & 4.55 & 16.1 & 21.4 & 3.25 & 3.79 & 1
30 & 0 & 60 & 85 & 66.5362 & 101.536 & 69.8 & 77.41 & 10.8738 & 9.8 & 6.86 & 17.41 & 2.36 & 2.36 & 1
31 & 0 & 60 & 85 & 66.1581 & 101.158 & 74.65 & 81.83 & 15.6719 & 14.65 & 6.43 & 21.83 & 2.2 & 2.2 & 1
32 & 0 & 62 & 87 & 68.938 & 103.938 & 76.99 & 85.15 & 16.212 & 14.99 & 7.41 & 23.15 & 2.53 & 2.53 & 1
33 & 0 & 65 & 90 & 76.6412 & 111.641 & 71.92 & 92.84 & 16.1988 & 6.92 & 20.17 & 27.84 & 4.52 & 5.97 & 1
34 & 0 & 69 & 94 & 79.6958 & 114.696 & 81.1 & 91.8 & 12.1042 & 12.1 & 9.95 & 22.8 & 4.12 & 4.12 & 1
35 & 0 & 77 & 102 & 83.938 & 118.938 & 82.49 & 90.35 & 6.412 & 5.49 & 7.11 & 13.35 & 2.53 & 2.53 & 1
36 & 0 & 101 & 126 & 105.102 & 140.102 & 104.99 & 110.61 & 5.50808 & 3.99 & 4.87 & 9.61 & 1.33 & 1.33 & 1
37 & 0 & 110 & 135 & 115.213 & 150.213 & 114.09 & 124.06 & 8.84728 & 4.09 & 9.22 & 14.06 & 1.8 & 1.8 & 2
38 & 0 & 111 & 136 & 116.024 & 151.024 & 117.46 & 131.31 & 15.2864 & 6.46 & 13.1 & 20.31 & 1.72 & 4.05 & 1
39 & 0 & 113 & 138 & 123.223 & 158.223 & 121.29 & 131.69 & 8.46687 & 8.29 & 9.65 & 18.69 & 3.92 & 3.92 & 1
40 & 0 & 124 & 149 & 125.242 & 160.242 & 130.17 & 133.66 & 8.41779 & 6.17 & 2.74 & 9.66 & 0.12 & 0.12 & 1
41 & 0 & 142 & 167 & 151.349 & 186.349 & 150.84 & 160.54 & 9.19133 & 8.84 & 8.95 & 18.54 & 3.55 & 3.55 & 1
42 & 0 & 153 & 178 & 158.591 & 193.591 & 157.04 & 163.97 & 5.37914 & 4.04 & 6.18 & 10.97 & 1.96 & 1.96 & 1
43 & 0 & 182 & 207 & 186.196 & 221.196 & 188.7 & 194.89 & 8.69354 & 6.7 & 5.44 & 12.89 & 1.37 & 1.37 & 1
44 & 0 & 207 & 232 & 209.377 & 244.377 & 213.89 & 218.53 & 9.15336 & 6.89 & 3.89 & 11.53 & 0.6 & 0.6 & 1
45 & 0 & 246 & 271 & 248.991 & 283.991 & 253.57 & 258.8 & 9.80888 & 7.57 & 4.48 & 12.8 & 0.86 & 0.86 & 2
46 & 0 & 248 & 273 & 258.601 & 293.601 & 251.91 & 262.71 & 4.10873 & 3.91 & 10.05 & 14.71 & 4.08 & 4.08 & 1
47 & 0 & 254 & 279 & 261.127 & 296.127 & 260.94 & 268.87 & 7.74293 & 6.94 & 7.18 & 14.87 & 2.61 & 2.61 & 1
48 & 0 & 276 & 301 & 279.015 & 314.015 & 282.41 & 287.35 & 8.33524 & 6.41 & 4.19 & 11.35 & 0.87 & 0.87 & 1
49 & 0 & 278 & 303 & 285.954 & 320.954 & 282.2 & 290.97 & 5.01574 & 4.2 & 8.02 & 12.97 & 2.96 & 2.96 & 1
50 & 0 & 281 & 306 & 291.294 & 326.294 & 284.89 & 295.25 & 3.95597 & 3.89 & 9.61 & 14.25 & 3.95 & 3.95 & 5
51 & 0 & 294 & 319 & 302.923 & 337.923 & 298.03 & 307.56 & 4.63674 & 4.03 & 8.78 & 13.56 & 3.37 & 3.37 & 1
52 & 0 & 299 & 324 & 309.672 & 344.672 & 304.93 & 315.66 & 5.98783 & 5.93 & 9.98 & 16.66 & 4.11 & 4.11 & 1
